"","Model","InOutSample","Location","Denomination","fh","MAPE"
"373","ARIMA","Out Sample","Bandung","K100000",22,103.778821654378
"374","ARIMA","Out Sample","Bandung","K100000",23,102.036171602015
"375","ARIMA","Out Sample","Bandung","K100000",24,98.6727079997795
"376","ARIMA","In Sample","Bandung","K50000",0,1240.1714308754
"377","ARIMA","Out Sample","Bandung","K50000",1,153.125505368173
"378","ARIMA","Out Sample","Bandung","K50000",2,96.9502451841953
"379","ARIMA","Out Sample","Bandung","K50000",3,93.5014149314014
"380","ARIMA","Out Sample","Bandung","K50000",4,95.9155397789372
"381","ARIMA","Out Sample","Bandung","K50000",5,80.2059094905989
"382","ARIMA","Out Sample","Bandung","K50000",6,68.3272910454545
"383","ARIMA","Out Sample","Bandung","K50000",7,59.7510008370921
"384","ARIMA","Out Sample","Bandung","K50000",8,52.5105253993264
"385","ARIMA","Out Sample","Bandung","K50000",9,52.1280650191471
"386","ARIMA","Out Sample","Bandung","K50000",10,50.0817185935058
"387","ARIMA","Out Sample","Bandung","K50000",11,66.3004488796095
"388","ARIMA","Out Sample","Bandung","K50000",12,64.0468668121735
"389","ARIMA","Out Sample","Bandung","K50000",13,66.4827335214151
"390","ARIMA","Out Sample","Bandung","K50000",14,62.3657030347453
"391","ARIMA","Out Sample","Bandung","K50000",15,69.6726510854478
"392","ARIMA","Out Sample","Bandung","K50000",16,68.8514917660831
"393","ARIMA","Out Sample","Bandung","K50000",17,65.835970761562
"394","ARIMA","Out Sample","Bandung","K50000",18,67.9383922394387
"395","ARIMA","Out Sample","Bandung","K50000",19,64.7222846026886
"396","ARIMA","Out Sample","Bandung","K50000",20,63.7125726596985
"397","ARIMA","Out Sample","Bandung","K50000",21,61.8831404168637
"398","ARIMA","Out Sample","Bandung","K50000",22,64.5140934799755
"399","ARIMA","Out Sample","Bandung","K50000",23,69.338912563958
"400","ARIMA","Out Sample","Bandung","K50000",24,70.5829139946488
"401","ARIMA","In Sample","Bandung","K20000",0,84.7825222283077
"402","ARIMA","Out Sample","Bandung","K20000",1,127.525059687839
